horizon,size_bucket,label,rows,school_count,mae,median_ae,p95_ae,rmse,wape,bias,mean_error,top100_mean_abs_error,top100_median_abs_error,abs_error_1000_count,actual_base_ratio_3_count,base_le_300_actual_ge_1000_count,level_r2,delta_r2
4,301_to_700,new_R5_full_no_sampling_optuna_tuned,14880,4432,56.02009989551501,45.13378228781221,145.835975582121,73.74052804583854,0.12643520472221603,-3.331353347242075,-3.331353347242075,304.0208489163257,281.735909093826,0,0,0,0.6849355664455319,0.22170015357441586
4,61_to_300,new_R5_full_no_sampling_optuna_tuned,9170,2776,25.940623092957118,18.92386978670455,70.45826545030452,36.62341022254476,0.180043546233279,-0.1351111587362938,-0.1351111587362938,166.69341558118091,152.6181803415992,0,0,0,0.7816934110289708,0.16488842903746836
4,701_to_1000,new_R5_full_no_sampling_optuna_tuned,6607,2331,78.74352928990628,67.1932343455328,193.5660838423224,99.4486519338817,0.10712642070548689,-10.347890391052793,-10.347890391052793,302.8973180093832,284.6681098792245,0,0,0,0.47554144146343424,0.26153976095398224
4,over_1000,new_R5_full_no_sampling_optuna_tuned,2573,873,97.94820774250672,85.4405357331766,232.08196819156453,122.19580982555875,0.09486764550030087,4.651566339316145,4.651566339316145,295.4816368288761,279.59163917932125,0,0,0,0.5861446512237467,0.25127956640310034
4,up_to_60,new_R5_full_no_sampling_optuna_tuned,7396,2049,8.487750281931024,6.710379775384116,21.69487944803516,11.230295385478142,0.2849916742792372,1.0019215052636004,1.0019215052636004,40.9418797061903,37.11462602646557,0,42,0,0.5086273377048223,0.0388970226254306
5,301_to_700,new_R5_full_no_sampling_optuna_tuned,14389,4337,67.405410904326,54.94140687710319,171.34474227758736,88.32002369337131,0.15663166207848617,-6.450397019089377,-6.450397019089377,360.4287836766739,334.50896038803626,0,0,0,0.5853167108945632,0.1627739792881151
5,61_to_300,new_R5_full_no_sampling_optuna_tuned,8867,2694,29.54604245692632,21.295964894709215,80.4685028325199,42.403797548539174,0.2146713971951515,-2.0997330292718708,-2.0997330292718708,197.81755141678977,184.82072743991833,0,0,0,0.7146057334250933,0.09463071668320311
5,701_to_1000,new_R5_full_no_sampling_optuna_tuned,6920,2468,91.85976291115442,77.83819244217989,226.55316598671482,115.68528765034903,0.1300039572312491,-12.95605190296895,-12.95605190296895,340.7621195210106,326.5768189580074,0,0,0,0.37945331811434246,0.22015888737325762
5,over_1000,new_R5_full_no_sampling_optuna_tuned,3064,1083,112.47762800504071,94.5477212244167,277.10535751522116,141.55270732057417,0.1140027873577104,0.6279715934698067,0.6279715934698067,353.52567963718155,338.5130694612734,0,0,0,0.5081911206902137,0.24415924468953643
5,up_to_60,new_R5_full_no_sampling_optuna_tuned,7175,2009,9.57567738328103,7.565827037638456,25.275499229106707,12.812019582624433,0.3232104191758152,0.7772265081017673,0.7772265081017673,47.523702794663734,42.047255997088996,0,44,0,0.39767525172333584,-0.021555248091809753
