sido,school_level,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
광주,초등학교,2025,135,135,56055.0,415.22222222222223,379.0,8,,,,0.07423975862387307,0.0,0.0
광주,초등학교,2026,135,135,52640.799953205424,389.9318515052254,347.4071826957009,8,,,,0.07423975862387307,-3414.2000467945763,-0.06090803758441845
광주,초등학교,2027,135,135,49626.095262691306,367.6007056495652,328.47511338260193,9,,,,0.07423975862387307,-6428.904737308694,-0.11468922910193015
광주,초등학교,2028,135,135,46642.41488675123,345.4993695314906,316.9192942295989,9,,,,0.07423975862387307,-9412.585113248773,-0.1679169585808362
광주,초등학교,2029,135,135,43408.49031511334,321.54437270454326,293.35148837016635,10,,,,0.07423975862387307,-12646.50968488666,-0.2256089498686408
광주,초등학교,2030,135,135,40382.950925965764,299.13296982196863,268.61749003281284,12,127.0,3.0,4.0,0.07423975862387307,-15672.049074034236,-0.27958342831209054
대구,고등학교,2025,86,86,54023.0,628.1744186046511,649.5,0,,,,0.22525169196069597,0.0,0.0
대구,고등학교,2026,86,86,51866.09463450753,603.0941236570643,613.7566126021575,0,,,,0.22525169196069597,-2156.905365492472,-0.03992568656854436
대구,고등학교,2027,86,86,50194.36178563171,583.6553696003687,581.2085136376527,0,,,,0.22525169196069597,-3828.638214368293,-0.07087052208074882
대구,고등학교,2028,86,86,49746.01255561567,578.4420064606473,582.3737374740003,0,,,,0.22525169196069597,-4276.987444384329,-0.0791697507429119
대구,고등학교,2029,86,86,49667.854221154135,577.5331886180713,579.8344198385339,0,,,,0.22525169196069597,-4355.145778845865,-0.08061651109427216
대구,고등학교,2030,86,86,49442.34260703114,574.9109605468738,578.8161244917869,0,67.0,0.0,0.0,0.22525169196069597,-4580.65739296886,-0.08479087412710994
대구,중학교,2025,113,113,55313.0,489.49557522123894,474.0,3,,,,0.3637227239399634,0.0,0.0
대구,중학교,2026,113,113,55650.59601115698,492.48315054121224,471.94274659998007,3,,,,0.3637227239399634,337.59601115698024,0.006103375538426414
대구,중학교,2027,113,113,55070.234458089304,487.34720759371066,469.9214440423824,3,,,,0.3637227239399634,-242.7655419106959,-0.004388941874617105
대구,중학교,2028,113,113,53836.60106345926,476.43009790671914,456.32335208009727,3,,,,0.3637227239399634,-1476.3989365407397,-0.02669171689369117
대구,중학교,2029,113,113,53291.478184282816,471.60600163082137,453.55087924259095,3,,,,0.3637227239399634,-2021.521815717184,-0.03654695669584336
대구,중학교,2030,113,113,53556.125224860036,473.94801083946936,456.87561303738414,3,38.0,2.0,3.0,0.3637227239399634,-1756.8747751399642,-0.031762420681213537
대구,초등학교,2025,191,191,75967.0,397.73298429319374,320.0,6,,,,0.22446580416743164,0.0,0.0
대구,초등학교,2026,191,191,71807.19131117672,375.9538812103493,296.66681942031227,9,,,,0.22446580416743164,-4159.808688823279,-0.05475810139696551
대구,초등학교,2027,191,191,67922.2464284338,355.6138556462503,276.0444793949219,10,,,,0.22446580416743164,-8044.753571566194,-0.10589800270599331
대구,초등학교,2028,191,191,63902.26233052461,334.566818484422,257.07837520653607,11,,,,0.22446580416743164,-12064.737669475391,-0.15881550764773378
대구,초등학교,2029,191,191,59580.61292218145,311.9403817915259,236.39046497094347,13,,,,0.22446580416743164,-16386.387077818552,-0.21570401724194127
대구,초등학교,2030,191,191,55721.81510380398,291.73725185237686,214.37312919298984,14,181.0,6.0,6.0,0.22446580416743164,-20245.18489619602,-0.2664997287795493
대전,고등학교,2025,55,55,34553.0,628.2363636363636,625.0,0,,,,0.09249747771866276,0.0,0.0
대전,고등학교,2026,55,55,33179.86372799459,603.2702495999016,593.4762398712592,0,,,,0.09249747771866276,-1373.1362720054094,-0.039740001505091
대전,고등학교,2027,55,55,31984.956053325608,581.5446555150111,563.1042601210896,0,,,,0.09249747771866276,-2568.043946674392,-0.07432188078240361
대전,고등학교,2028,55,55,31711.34309906149,576.5698745283908,557.9762172173843,0,,,,0.09249747771866276,-2841.6569009385094,-0.08224052617539748
대전,고등학교,2029,55,55,31514.310255756634,572.9874591955752,557.1225821943664,0,,,,0.09249747771866276,-3038.6897442433656,-0.0879428629711853
대전,고등학교,2030,55,55,31280.859739726944,568.7429043586717,550.2822129405998,0,43.0,0.0,0.0,0.09249747771866276,-3272.140260273056,-0.09469916534810453
대전,중학교,2025,83,83,34946.0,421.03614457831327,332.0,2,,,,0.10404599112309158,0.0,0.0
대전,중학교,2026,83,83,34757.798730789786,418.7686594071059,345.2934088893586,3,,,,0.10404599112309158,-188.20126921021438,-0.0053854881591659815
대전,중학교,2027,83,83,34090.36152676542,410.7272473104267,344.3122547839332,3,,,,0.10404599112309158,-855.6384732345832,-0.02448458974516635
대전,중학교,2028,83,83,33424.940556395966,402.71012718549355,342.8945498271564,3,,,,0.10404599112309158,-1521.0594436040337,-0.04352599563910129
대전,중학교,2029,83,83,33010.738478088795,397.719740699865,342.185829163288,3,,,,0.10404599112309158,-1935.261521911205,-0.05537862765155396
대전,중학교,2030,83,83,33031.88948653967,397.974572126984,347.858998048421,3,26.0,1.0,1.0,0.10404599112309158,-1914.1105134603276,-0.054773379312663184
대전,초등학교,2025,133,133,53430.0,401.7293233082707,351.0,11,,,,0.06545365382676778,0.0,0.0
대전,초등학교,2026,133,133,50428.35776242026,379.1605846798516,319.221386472214,11,,,,0.06545365382676778,-3001.642237579741,-0.05617896757588885
대전,초등학교,2027,133,133,47691.468490855,358.5824698560526,300.113530819386,11,,,,0.06545365382676778,-5738.531509145003,-0.10740279822468655
대전,초등학교,2028,133,133,44699.30969498085,336.0850353006079,280.69744394811187,13,,,,0.06545365382676778,-8730.690305019147,-0.163404272974343
대전,초등학교,2029,133,133,41713.64139642326,313.63640147686664,257.0295116872896,14,,,,0.06545365382676778,-11716.358603576737,-0.21928427107573903
대전,초등학교,2030,133,133,38719.7768155603,291.1261414703782,229.41580188001365,14,121.0,3.0,4.0,0.06545365382676778,-14710.223184439703,-0.2753176714287798
부산,고등학교,2025,137,137,67647.0,493.77372262773724,475.0,0,,,,0.1422717537892076,0.0,0.0
부산,고등학교,2026,137,137,65174.60092525192,475.7270140529337,456.98148206431136,0,,,,0.1422717537892076,-2472.3990747480784,-0.03654853984283233
부산,고등학교,2027,137,137,63169.09937591145,461.08831661249235,446.2245418930457,0,,,,0.1422717537892076,-4477.90062408855,-0.06619511026488314
부산,고등학교,2028,137,137,62319.553922313804,454.8872549074,433.29301156298857,0,,,,0.1422717537892076,-5327.446077686196,-0.07875361919503003
부산,고등학교,2029,137,137,62069.93090974334,453.0651891222142,432.4294892689472,0,,,,0.1422717537892076,-5577.069090256657,-0.08244370172005643
부산,고등학교,2030,137,137,61735.57220218307,450.624614614475,429.6421915016181,0,101.0,0.0,0.0,0.1422717537892076,-5911.427797816927,-0.08738639995590236
