sido,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
세종,2027,47,47,16991.383648725736,361.5188010367178,366.212845243472,9,,,,0.7108004963494945,-430.61635127426416,-0.02471681501976031
세종,2028,47,47,16558.59644025406,352.310562558597,329.41861398907224,9,,,,0.7108004963494945,-863.4035597459406,-0.04955823440167263
세종,2029,47,47,16076.24419794423,342.04774889243043,305.36243333483753,11,,,,0.7108004963494945,-1345.75580205577,-0.07724462186062277
세종,2030,47,47,15570.588190953811,331.28911044582577,277.5119315455163,11,27.0,4.0,4.0,0.7108004963494945,-1851.4118090461889,-0.10626861491483118
울산,2025,203,203,99220.0,488.76847290640393,497.0,11,,,,0.372755455041231,0.0,0.0
울산,2026,203,203,95994.81690028694,472.88087142998495,470.8074984201172,11,,,,0.372755455041231,-3225.18309971306,-0.03250537290579581
울산,2027,203,203,92567.43692126885,455.99722621314703,453.7370026562611,12,,,,0.372755455041231,-6652.563078731153,-0.06704860994488161
울산,2028,203,203,89371.08832300987,440.25166661581216,421.8396512630737,12,,,,0.372755455041231,-9848.91167699013,-0.09926337106420208
울산,2029,203,203,86572.81434042413,426.46706571637503,406.96013425379454,12,,,,0.372755455041231,-12647.185659575873,-0.12746609211424986
울산,2030,203,203,84157.07334378822,414.56686376250354,391.9066331614675,12,136.0,5.0,9.0,0.372755455041231,-15062.926656211785,-0.1518134111692379
인천,2025,455,455,222631.0,489.2989010989011,459.0,37,,,,0.9944593533699693,0.0,0.0
인천,2026,455,455,215169.88988112652,472.9008568815968,446.638741670597,37,,,,0.9944593533699693,-7461.110118873476,-0.03351334773177803
인천,2027,455,455,207882.07410314245,456.8836793475658,425.3640821755354,38,,,,0.9944593533699693,-14748.925896857545,-0.06624830278288983
인천,2028,455,455,200714.88605586538,441.13161770519866,415.16478511259936,38,,,,0.9944593533699693,-21916.113944134617,-0.09844142973860162
인천,2029,455,455,194400.8952023438,427.2547147304259,396.5852110021431,38,,,,0.9944593533699693,-28230.10479765621,-0.1268022189077721
인천,2030,455,455,188847.34888722346,415.04911843345815,379.0240497408425,38,336.0,27.0,35.0,0.9944593533699693,-33783.65111277654,-0.15174729086594652
전남,2025,779,778,135703.0,174.201540436457,60.0,393,,,,2.8860117723002428,0.0,0.0
전남,2026,779,778,130501.0713509458,167.52383998837715,57.13499431458805,397,,,,2.8860117723002428,-5201.9286490542,-0.03833318827921416
전남,2027,779,778,125374.01356865975,160.9422510509111,55.28181110794766,405,,,,2.8860117723002428,-10328.98643134025,-0.07611465060713654
전남,2028,779,778,121038.79309261809,155.3771413255688,51.008971123691566,414,,,,2.8860117723002428,-14664.206907381915,-0.10806103702484038
전남,2029,779,778,117224.32399247409,150.4805186039462,48.41753252458911,420,,,,2.8860117723002428,-18478.676007525908,-0.13616998892821755
전남,2030,779,778,113910.88288559754,146.22706403799427,45.94423891530548,423,485.0,299.0,353.0,2.8860117723002428,-21792.117114402456,-0.16058684859142727
전북,2025,692,692,141095.0,203.89450867052022,87.5,311,,,,1.6524190430728718,0.0,0.0
전북,2026,692,692,135272.47235295386,195.48045137710096,84.28591494777297,313,,,,1.6524190430728718,-5822.5276470461395,-0.04126671850204571
전북,2027,692,692,129639.7662003661,187.3407026016851,80.29441617918027,317,,,,1.6524190430728718,-11455.233799633905,-0.0811880917086637
전북,2028,692,692,125180.41657226163,180.89655574026247,77.84676694096754,321,,,,1.6524190430728718,-15914.58342773837,-0.11279339046556128
전북,2029,692,692,121305.46911408435,175.296920685093,72.73101507514383,331,,,,1.6524190430728718,-19789.53088591565,-0.1402567836274542
전북,2030,692,692,117883.57139430515,170.35198178367796,66.82127795180355,332,464.0,153.0,211.0,1.6524190430728718,-23211.428605694848,-0.16450922148690492
제주,2025,178,178,62811.0,352.8707865168539,237.5,36,,,,1.7141296853019914,0.0,0.0
제주,2026,178,178,61094.16463889882,343.2256440387574,233.7162294377679,37,,,,1.7141296853019914,-1716.835361101177,-0.027333355003123293
제주,2027,178,178,59351.43929090507,333.4350521960959,229.37137106691597,37,,,,1.7141296853019914,-3459.560709094927,-0.05507889874536191
제주,2028,178,178,57755.99595132581,324.47188736699894,227.91217556342275,37,,,,1.7141296853019914,-5055.004048674193,-0.08047959829765794
