sido,sgg,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
전북,고창군,2030,40,40,3700.708302019742,92.51770755049355,18.494859841600537,29,26.0,18.0,26.0,2.847135069505112,-628.291697980258,-0.14513552736896698
전북,군산시,2025,73,73,22592.0,309.47945205479454,240.0,19,,,,0.8049085617579581,0.0,0.0
전북,군산시,2026,73,73,21674.768182565163,296.9146326378789,237.0985600818358,19,,,,0.8049085617579581,-917.2318174348366,-0.040599850275975416
전북,군산시,2027,73,73,20815.030114172376,285.1373988242791,228.6755436229709,19,,,,0.8049085617579581,-1776.9698858276242,-0.07865482851574115
전북,군산시,2028,73,73,20130.50082567349,275.7602852831985,205.1038124584315,20,,,,0.8049085617579581,-2461.499174326509,-0.1089544606199765
전북,군산시,2029,73,73,19586.07749301321,268.3024314111399,190.9510086765506,24,,,,0.8049085617579581,-3005.92250698679,-0.13305251889991102
전북,군산시,2030,73,73,19152.071950293917,262.35715000402627,184.4758581332132,24,52.0,5.0,6.0,0.8049085617579581,-3439.9280497060827,-0.15226310418316585
전북,김제시,2025,54,54,5842.0,108.18518518518519,45.0,33,,,,1.2031629943759374,0.0,0.0
전북,김제시,2026,54,54,5649.112301211495,104.61319076317584,41.67584882342605,33,,,,1.2031629943759374,-192.88769878850508,-0.033017408214396624
전북,김제시,2027,54,54,5401.892019302745,100.03503739449528,38.94553784209641,33,,,,1.2031629943759374,-440.1079806972548,-0.07533515588792447
전북,김제시,2028,54,54,5242.241611547074,97.07854836198285,38.24004329924968,33,,,,1.2031629943759374,-599.7583884529258,-0.1026631955585289
전북,김제시,2029,54,54,5085.2279776994965,94.1708884759166,36.7154861421333,33,,,,1.2031629943759374,-756.7720223005035,-0.12953988741877842
전북,김제시,2030,54,54,4912.544344470239,90.97304341611553,35.95529199449188,33,28.0,7.0,14.0,1.2031629943759374,-929.4556555297613,-0.15909887975517994
전북,남원시,2025,49,49,6548.0,133.6326530612245,50.0,26,,,,1.6612002356146585,0.0,0.0
전북,남원시,2026,49,49,6315.1919297875065,128.88146795484707,51.77558401517424,27,,,,1.6612002356146585,-232.80807021249348,-0.035554073031840785
전북,남원시,2027,49,49,6045.855752338049,123.38481127220507,48.09004119059804,27,,,,1.6612002356146585,-502.14424766195134,-0.07668665969180687
전북,남원시,2028,49,49,5875.454278051379,119.90723016431386,47.76972141977155,28,,,,1.6612002356146585,-672.5457219486207,-0.10271009803735807
전북,남원시,2029,49,49,5658.230517649112,115.47409219692065,45.73511681917199,29,,,,1.6612002356146585,-889.7694823508882,-0.13588416040789375
전북,남원시,2030,49,49,5461.632463015772,111.46188700032188,43.04049943423324,29,32.0,15.0,21.0,1.6612002356146585,-1086.3675369842276,-0.16590829825660167
전북,무주군,2025,21,21,1652.0,78.66666666666667,48.0,15,,,,5.085181518971216,0.0,0.0
전북,무주군,2026,21,21,1557.7815504304092,74.18007383001948,43.99558793811919,16,,,,5.085181518971216,-94.2184495695908,-0.057032959787887895
전북,무주군,2027,21,21,1482.2456359980765,70.58312552371792,45.51821275657102,16,,,,5.085181518971216,-169.75436400192348,-0.10275687893578903
전북,무주군,2028,21,21,1435.1191379746697,68.33900657022237,40.610207933850496,16,,,,5.085181518971216,-216.88086202533032,-0.1312838147853089
